OBJECTID *,Shape *,ASSETGROUP,ASSETTYPE,ASSETNUM,CLASSIFICATION_TRAFO,DESCRIPTION GARDU,INSTALLDATE,LOCATION_GARDU,STATUS,TUJDNUMBER_TRAFO,FASA_TRAFO,JENIS_TRAFO,KAPASITAS_BARU,NO_TRAFO,PERUNTUKAN,POSISI_FASA,TEGANGAN_TRAFO,TH_BUAT,PRIORITAS,globalid *,LATITUDE,LONGITUDE,AssetNum_Trafo,GARDU_INDUK,Keterangan,PENYULANG,LOCATION_TIANG,ID_SECTION,SECTION_NAME,GARDU_UID,ASSETGROUP,ASSETTYPE,LOCATION,SSOTNUMBER_GARDU,NAMA_GARDU,KODE_GARDU,TUJDNUMBER_GARDU,TYPE_GARDU,ASSETNUM,SSOTNUMBER_TRAFO,NAMA_TRAFO,KAPASITAS_MAXIMO,BEBAN_SINCAL,JENIS_PELAYANAN,DESCRIPTION_TRAFO,KODE_PERALATAN,OWNER_PEMELIHARAAN,STATUS_KEPEMILIKAN,STATUS_RC,CXPENYULANG,SADDRESSCODE,LOCATION TYPE,STREETADDRESS,FORMATTEDADDRESS,CITY,KODE_PENYULANG
2484,Point,7211,23230,3742718,Trafo,GD TBT0211,12/30/1899,GD01.04669863,OPERATING,72TF0103742718,3 FASA,3,100,100,UMUM,RST,20 kV/B2,2017,3,{157820AE-6B36-4155-909F-78954FA2C43B},"-1,880974","116,170873",3742718,GI GROGOT,,GRT.01,TG01.04703174,210101,SECTION-PMT-GRT.01,3080,7211,23230,GD01.04669863,23230GD010000012283,GD TBT0211,TBT0211,72GD0104669863,Gardu Portal,3742718,23230TF010000002722,TRAFO GD TBT0211,100,"0,08",Umum,TRAFO GD TBT0211,12345678,,PLN,TIDAK ADA,3714429,SA6564735,Bangunan Sipil Gardu,TANAH GROGOT,TANAH GROGOT,PASER,3714429
2486,Point,7211,23230,3742712,Trafo,GD LLO0263,12/30/1899,GD01.04669857,OPERATING,72TF0103742712,3 FASA,2,160,160,UMUM,RST,20 kV/B2,2017,3,{B245FD90-A20E-4FDC-BB94-51AB5FD9AEE0},"-1,878915","116,127139",3742712,GI GROGOT,,GRT.01,TG01.04703069,210103,SECTION-LBS-LBS MAN IC,3082,7211,23230,GD01.04669857,23230GD010000012287,GD LLO0263,LLO0263,72GD0104669857,Gardu Portal,3742712,23230TF010000002716,TRAFO GD LLO0263,160,"0,128",Umum,TRAFO GD LLO0263,12345678,,PLN,TIDAK ADA,3714429,SA6564729,Bangunan Sipil Gardu,TANAH GROGOT,TANAH GROGOT,PASER,3714429
2611,Point,7211,23230,3742715,Trafo,GD RSU0190,12/30/1899,GD01.04669860,OPERATING,72TF0103742715,3 FASA,Bangunan,200,1600,UMUM,RST,20 kV/B2,2017,3,{49AE7F01-46AE-4632-9E6B-A1801D2B0866},"-1,874051","116,1798",3742715,GI GROGOT,,GRT.01,TG01.04703131,210101,SECTION-PMT-GRT.01,2410,7211,23230,GD01.04669860,23230GD010000012358,GD RSU0190,RSU0190,72GD0104669860,Gardu Beton,3742715,23230TF010000002719,TRAFO GD RSU0190,1600,"1,28",Khusus,TRAFO GD RSU0190,12345678,,NON PLN,TIDAK ADA,3714429,SA6564732,Bangunan Sipil Gardu,TANAH GROGOT,TANAH GROGOT,PASER,3714429
2661,Point,7211,23230,3742711,Trafo,GD JNJ0077,12/30/1899,GD01.04669856,OPERATING,72TF0103742711,3 FASA,3,50,50,UMUM,RST,20 kV/B2,2017,3,{11FF7289-80C5-41A6-B936-D0BBB7B366A2},"-1,862945","116,137577",3742711,GI GROGOT,,GRT.01,TG01.04703025,210103,SECTION-LBS-LBS MAN IC,2428,7211,23230,GD01.04669856,23230GD010000012288,GD JNJ0077,JNJ0077,72GD0104669856,Gardu Cantol,3742711,23230TF010000002715,TRAFO GD JNJ0077,50,"0,04",Umum,TRAFO GD JNJ0077,12345678,,PLN,TIDAK ADA,3714429,SA6564728,Bangunan Sipil Gardu,TANAH GROGOT,TANAH GROGOT,PASER,3714429
2668,Point,7211,23230,3742714,Trafo,GD GSR0313,12/30/1899,GD01.04669859,OPERATING,72TF0103742714,3 FASA,2,200,200,UMUM,RST,20 kV/B2,2017,3,{F88DF991-0850-4C0D-BDC2-C1259D6B37D6},"-1,878053","116,178778",3742714,GI GROGOT,,GRT.01,TG01.04703114,210101,SECTION-PMT-GRT.01,2430,7211,23230,GD01.04669859,23230GD010000012285,GD GSR0313,GSR0313,72GD0104669859,Gardu Portal,3742714,23230TF010000002718,TRAFO GD GSR0313,200,"0,16",Umum,TRAFO GD GSR0313,12345678,,PLN,TIDAK ADA,3714429,SA6564731,Bangunan Sipil Gardu,TANAH GROGOT,TANAH GROGOT,PASER,3714429
2684,Point,7211,23230,3742710,Trafo,GD JNJ0152,12/30/1899,GD01.04669855,OPERATING,72TF0103742710,3 FASA,3,25,25,UMUM,RST,20 kV/B2,2017,3,{81BA82DB-FBF8-4BBE-A54D-FD8A9489A5D4},"-1,856753","116,140402",3742710,GI GROGOT,,GRT.01,TG01.04703011,210103,SECTION-LBS-LBS MAN IC,2435,7211,23230,GD01.04669855,23230GD010000012289,GD JNJ0152,JNJ0152,72GD0104669855,Gardu Cantol,3742710,23230TF010000002714,TRAFO GD JNJ0152,25,"0,02",Umum,TRAFO GD JNJ0152,12345678,,PLN,TIDAK ADA,3714429,SA6564727,Bangunan Sipil Gardu,TANAH GROGOT,TANAH GROGOT,PASER,3714429
2704,Point,7211,23230,3742707,Trafo,GD BTS0119,12/30/1899,GD01.04669852,OPERATING,72TF0103742707,3 FASA,3,25,25,UMUM,RST,20 kV/B2,2017,3,{220C8F6F-E360-40C7-936D-A2D48F82D68D},"-1,853089","116,155903",3742707,GI GROGOT,,GRT.01,TG01.04702970,210103,SECTION-LBS-LBS MAN IC,2443,7211,23230,GD01.04669852,23230GD010000012292,GD BTS0119,BTS0119,72GD0104669852,Gardu Cantol,3742707,23230TF010000002711,TRAFO GD BTS0119,25,"0,02",Umum,TRAFO GD BTS0119,12345678,,PLN,TIDAK ADA,3714429,SA6564724,Bangunan Sipil Gardu,TANAH GROGOT,TANAH GROGOT,PASER,3714429
2707,Point,7211,23230,3742706,Trafo,GD SPL0234,12/30/1899,GD01.04669851,OPERATING,72TF0103742706,3 FASA,2,100,100,UMUM,RST,20 kV/B2,2017,3,{E7F6852F-24DC-4F54-905F-1D8AA7FAB2AE},"-1,855365","116,158183",3742706,GI GROGOT,,GRT.01,TG01.04702963,210103,SECTION-LBS-LBS MAN IC,2444,7211,23230,GD01.04669851,23230GD010000012359,GD SPL0234,SPL0234,72GD0104669851,Gardu Portal,3742706,23230TF010000002710,TRAFO GD SPL0234,100,"0,08",Umum,TRAFO GD SPL0234,12345678,,PLN,TIDAK ADA,3714429,SA6564723,Bangunan Sipil Gardu,TANAH GROGOT,TANAH GROGOT,PASER,3714429
2722,Point,7211,23230,3742705,Trafo,GD SPL0245,12/30/1899,GD01.04669850,OPERATING,72TF0103742705,3 FASA,2,100,100,UMUM,RST,20 kV/B2,2017,3,{9F7F56C9-533A-4D85-BE4A-3A2EC3B98A05},"-1,857195","116,164415",3742705,GI GROGOT,,GRT.01,TG01.04702950,210102,SECTION-REC-JANJU,2449,7211,23230,GD01.04669850,23230GD010000012293,GD SPL0245,SPL0245,72GD0104669850,Gardu Portal,3742705,23230TF010000002709,TRAFO GD SPL0245,100,"0,08",Umum,TRAFO GD SPL0245,12345678,,PLN,TIDAK ADA,3714429,SA6564722,Bangunan Sipil Gardu,TANAH GROGOT,TANAH GROGOT,PASER,3714429
2750,Point,7211,23230,3742704,Trafo,GD JNJ0128,12/30/1899,GD01.04669849,OPERATING,72TF0103742704,3 FASA,3,100,50,UMUM,RST,20 kV/B2,2017,3,{E85A053A-4EA2-45D6-8348-6354EB623B13},"-1,859903","116,174074",3742704,GI GROGOT,,GRT.01,TG01.04702923,210102,SECTION-REC-JANJU,2458,7211,23230,GD01.04669849,23230GD010000012294,GD JNJ0128,JNJ0128,72GD0104669849,Gardu Cantol,3742704,23230TF010000002708,TRAFO GD JNJ0128,50,"0,04",Umum,TRAFO GD JNJ0128,12345678,,PLN,TIDAK ADA,3714429,SA6564721,Bangunan Sipil Gardu,TANAH GROGOT,TANAH GROGOT,PASER,3714429
2786,Point,7211,23230,3742736,Trafo,GD LLO0043,12/30/1899,GD01.04669881,OPERATING,72TF0103742736,3 FASA,3,100,100,UMUM,RST,20 kV/B2,2017,3,{CD6A6443-3677-434A-90F9-EBEA13A3867B},"-1,874441","116,117139",3742736,GI GROGOT,,GRT.01,TG01.04703524,210103,SECTION-LBS-LBS MAN IC,2471,7211,23230,GD01.04669881,23230GD010000012267,GD LLO0043,LLO0043,72GD0104669881,Gardu Portal,3742736,23230TF010000002739,TRAFO GD LLO0043,100,"0,08",Umum,TRAFO GD LLO0043,12345678,,PLN,TIDAK ADA,3714429,SA6564753,Bangunan Sipil Gardu,TANAH GROGOT,TANAH GROGOT,PASER,3714429
